,Current,Contribution,Time Start,Time End
0,I_K1,0.6453299450757174,4292.0,4294.0
1,I_K1_Ishi,0.0,0.0,2.0
2,I_To,0.798596952735764,3636.0,3638.0
3,I_Kr,0.586306444333636,1266.0,1268.0
4,I_Ks,0.3863751041673507,9052.0,9054.0
5,I_CaL,0.9236982459889372,1978.0,1980.0
6,I_NaK,0.24779989498231383,1254.0,1256.0
7,I_Na,0.8789011814768433,2762.0,2764.0
8,I_NaCa,0.4765091181926136,2874.0,2876.0
9,I_pCa,0.1009190740202855,900.0,902.0
10,I_F,0.49651000639204146,5836.0,5838.0
11,I_bNa,0.03414176527599873,4238.0,4240.0
12,I_bCa,0.04005873481546988,4238.0,4240.0
13,I_CaT,0.2663039479047892,502.0,504.0
14,I_up,7.325153213104342e-05,1004.0,1006.0
15,I_leak,4.4173838196424715e-07,1362.0,1364.0
16,I_ion,0.0,0.0,2.0
17,I_seal_leak,0.6943614881214026,4238.0,4240.0
18,I_out,0.0,0.0,2.0
19,I_no_ion,0.0,0.0,2.0
