,Current,Contribution,Time Start,Time End
0,i_ion,0.0,0.0,10.0
1,INa,0.4873453422441958,1075.0,1085.0
2,INaL,0.440365688357591,3420.0,3430.0
3,Ito,0.3270616652490094,4545.0,4555.0
4,ICaL,0.45093415593410496,5445.0,5455.0
5,ICaNa,0.09603599490460012,4555.0,4565.0
6,ICaK,0.18336296246555028,6875.0,6885.0
7,IKr,0.43887921187790724,6305.0,6315.0
8,IKs,0.31523559918327854,9235.0,9245.0
9,IK1,0.4990862635418751,3340.0,3350.0
10,INaCa,0.15474739338082633,6060.0,6070.0
11,INaCa_ss,0.14059902531334392,1690.0,1700.0
12,INaK,0.28292025275525695,6060.0,6070.0
13,IKb,0.14082989768392562,4535.0,4545.0
14,INab,0.06912594963203986,6060.0,6070.0
15,ICab,0.0780835675971117,6060.0,6070.0
16,IpCa,0.0003301031425489273,6060.0,6070.0
