,Current,Contribution,Time Start,Time End
0,I_Na,0.9656960223549867,520.0,530.0
1,I_NaL,0.5448415775726133,11020.0,11030.0
2,I_To,0.1683572980151873,8435.0,8445.0
3,I_CaL,0.8141589702918116,9080.0,9090.0
4,I_CaNa,0.11278290566453877,6260.0,6270.0
5,I_CaK,0.40990212490250005,8435.0,8445.0
6,I_Kr,0.7241470075181926,1805.0,1815.0
7,I_Ks,0.4789189101438074,5745.0,5755.0
8,I_K1,0.9916127387609803,505.0,515.0
9,I_NaCa,0.4149836965020628,9110.0,9120.0
10,I_NaCa_ss,0.49349138916527563,9090.0,9100.0
11,I_NaK,0.31976107732668035,8100.0,8110.0
12,I_Kb,0.24368790938204932,2725.0,2735.0
13,I_Nab,0.07395615370744181,8100.0,8110.0
14,I_Cab,0.08348752559956203,8100.0,8110.0
15,I_pCa,0.00044579889006300877,8100.0,8110.0
16,I_F,0.0,0.0,10.0
17,I_up,0.0,0.0,10.0
18,I_leak,0.0,0.0,10.0
19,I_no_ion,0.0,0.0,10.0
20,I_stim,0.0,0.0,10.0
