,Current,Contribution,Time Start,Time End
0,I_K1,0.642266131996801,4295.0,4305.0
1,I_K1_Ishi,0.0,0.0,10.0
2,I_To,0.7693561464316946,3635.0,3645.0
3,I_Kr,0.4985592342306463,1265.0,1275.0
4,I_Ks,0.38622889869916305,9045.0,9055.0
5,I_CaL,0.8734128765741285,1975.0,1985.0
6,I_NaK,0.24907135816514767,1245.0,1255.0
7,I_Na,0.75785737571904,2760.0,2770.0
8,I_NaCa,0.4673818409190142,2870.0,2880.0
9,I_pCa,0.10019689499786973,895.0,905.0
10,I_F,0.49404331659060713,5835.0,5845.0
11,I_bNa,0.0339118173365787,4240.0,4250.0
12,I_bCa,0.0397988878741542,4240.0,4250.0
13,I_CaT,0.1274879562846772,1970.0,1980.0
14,I_up,7.306059113682636e-05,995.0,1005.0
15,I_leak,4.386386645136721e-07,1355.0,1365.0
16,I_ion,0.0,0.0,10.0
17,I_seal_leak,0.6914577870498969,4240.0,4250.0
18,I_out,0.0,0.0,10.0
19,I_no_ion,0.0,0.0,10.0
