,Current,Contribution,Time Start,Time End
0,I_K1,0.6451043661398885,10955.0,10965.0
1,I_K1_Ishi,0.0,0.0,10.0
2,I_To,0.7578749175127059,6850.0,6860.0
3,I_Kr,0.49350701522799645,2050.0,2060.0
4,I_Ks,0.40841635449743285,6040.0,6050.0
5,I_CaL,0.853371202195572,9495.0,9505.0
6,I_NaK,0.2549593628886479,2030.0,2040.0
7,I_Na,0.7717155926621786,685.0,695.0
8,I_NaCa,0.5115281759735829,795.0,805.0
9,I_pCa,0.10037354699030895,1665.0,1675.0
10,I_F,0.5072210597078204,8785.0,8795.0
11,I_bNa,0.03409812219411831,10900.0,10910.0
12,I_bCa,0.03994222771316215,2030.0,2040.0
13,I_CaT,0.13781724795748365,10095.0,10105.0
14,I_up,7.33567001370309e-05,1765.0,1775.0
15,I_leak,4.3946526273893955e-07,2140.0,2150.0
16,I_ion,0.0,0.0,10.0
17,I_seal_leak,0.7002238287019323,10905.0,10915.0
18,I_out,0.0,0.0,10.0
19,I_no_ion,0.0,0.0,10.0
