,Current,Contribution,Time Start,Time End
0,i_ion,0.0,0.0,10.0
1,INa,0.48406334286801733,590.0,600.0
2,INaL,0.4511028496154525,3010.0,3020.0
3,Ito,0.32720524186010375,5165.0,5175.0
4,ICaL,0.4483711315318082,6280.0,6290.0
5,ICaNa,0.07724542061747827,6980.0,6990.0
6,ICaK,0.18874100902949167,7690.0,7700.0
7,IKr,0.4378548180821662,7085.0,7095.0
8,IKs,0.3074802657227602,9775.0,9785.0
9,IK1,0.49909097041267414,2925.0,2935.0
10,INaCa,0.10756878613928414,7065.0,7075.0
11,INaCa_ss,0.11580856531543439,1215.0,1225.0
12,INaK,0.058142605002445745,5805.0,5815.0
13,IKb,0.13348179145726105,5155.0,5165.0
14,INab,0.006293901587106517,2990.0,3000.0
15,ICab,0.006403016417265873,2990.0,3000.0
16,IpCa,7.70543154486022e-05,7065.0,7075.0
