,Current,Contribution,Time Start,Time End
0,I_Na,0.9519454738737771,545.0,555.0
1,I_NaL,0.2533344528752109,580.0,590.0
2,I_To,0.5546764038836968,3585.0,3595.0
3,I_CaL,0.7502201018472162,4295.0,4305.0
4,I_CaNa,0.0770870786262483,1345.0,1355.0
5,I_CaK,0.16219119904935622,3580.0,3590.0
6,I_Kr,0.7382794839793982,1730.0,1740.0
7,I_Ks,0.3198976096037251,2865.0,2875.0
8,I_K1,0.9905697748658407,5640.0,5650.0
9,I_NaCa,0.27210575116199665,5705.0,5715.0
10,I_NaCa_ss,0.21015082012172434,5675.0,5685.0
11,I_NaK,0.276897566565751,1320.0,1330.0
12,I_Kb,0.15851384901031618,1325.0,1335.0
13,I_Nab,0.027733883314976122,1320.0,1330.0
14,I_Cab,0.027324807537469405,1320.0,1330.0
15,I_pCa,0.0002450570156577727,5705.0,5715.0
