,Current,Contribution,Time Start,Time End
0,I_Na,0.9593806410582768,560.0,570.0
1,I_NaL,0.33488311492641754,9225.0,9235.0
2,I_To,0.651772279775332,4930.0,4940.0
3,I_CaL,0.7669350268830865,6425.0,6435.0
4,I_CaNa,0.08282276214791057,625.0,635.0
5,I_CaK,0.16209654880216487,1700.0,1710.0
6,I_Kr,0.7463300393536259,1795.0,1805.0
7,I_Ks,0.47635555362360193,4175.0,4185.0
8,I_K1,0.9924963971690967,9175.0,9185.0
9,I_NaCa,0.2968842033829945,9255.0,9265.0
10,I_NaCa_ss,0.25413554870149735,4195.0,4205.0
11,I_NaK,0.433560168885623,4265.0,4275.0
12,I_Kb,0.18170625432848375,2650.0,2660.0
13,I_Nab,0.10140858626662949,4265.0,4275.0
14,I_Cab,0.11451579787477845,4265.0,4275.0
15,I_pCa,0.00047228589815998705,4265.0,4275.0
