,Current,Contribution,Time Start,Time End
0,I_Na,0.9677913822579843,520.0,530.0
1,I_NaL,0.4893493265215876,10225.0,10235.0
2,I_To,0.6397598919940973,7635.0,7645.0
3,I_CaL,0.7737006007175155,8280.0,8290.0
4,I_CaNa,0.08913653933088916,555.0,565.0
5,I_CaK,0.16289221673727236,2225.0,2235.0
6,I_Kr,0.768110803472764,1605.0,1615.0
7,I_Ks,0.5522455916174347,5545.0,5555.0
8,I_K1,0.992011058157026,505.0,515.0
9,I_NaCa,0.2661533877908853,8310.0,8320.0
10,I_NaCa_ss,0.5090703564332225,8290.0,8300.0
11,I_NaK,0.41466489738585094,7300.0,7310.0
12,I_Kb,0.1824742092423655,2465.0,2475.0
13,I_Nab,0.1026564584567391,7300.0,7310.0
14,I_Cab,0.11589205029911165,7300.0,7310.0
15,I_pCa,0.0004506579139658656,7300.0,7310.0
